code,name,year,price,dividend,dividend_yield,first_trading_day
600039,模拟股票40,2022,57.92,4.04,6.97,2022-01-02
000014,模拟股票15,2022,99.56,6.88,6.91,2022-01-02
600036,模拟股票37,2022,182.94,12.62,6.9,2022-01-02
000055,模拟股票56,2022,117.71,8.0,6.8,2022-01-02
600037,模拟股票38,2022,37.93,2.55,6.71,2022-01-02
600026,模拟股票27,2022,126.34,8.36,6.62,2022-01-02
600071,模拟股票72,2022,179.03,11.74,6.56,2022-01-02
600094,模拟股票95,2022,53.18,3.48,6.54,2022-01-02
000053,模拟股票54,2022,51.87,3.38,6.51,2022-01-02
600040,模拟股票41,2022,110.05,7.12,6.47,2022-01-02
000011,模拟股票12,2022,192.93,12.29,6.37,2022-01-02
000063,模拟股票64,2022,8.29,0.53,6.35,2022-01-02
000065,模拟股票66,2022,119.99,7.4,6.17,2022-01-02
600070,模拟股票71,2022,78.81,4.83,6.13,2022-01-02
000003,模拟股票4,2022,193.28,11.54,5.97,2022-01-02
000058,模拟股票59,2022,110.48,6.39,5.78,2022-01-02
600054,模拟股票55,2022,52.54,3.01,5.72,2022-01-02
600004,模拟股票5,2022,20.45,1.15,5.62,2022-01-02
000005,模拟股票6,2022,70.46,3.91,5.55,2022-01-02
000083,模拟股票84,2022,35.61,1.96,5.51,2022-01-02
600019,模拟股票20,2022,99.87,5.45,5.46,2022-01-02
600031,模拟股票32,2022,75.9,4.02,5.29,2022-01-02
000093,模拟股票94,2022,110.28,5.8,5.26,2022-01-02
600033,模拟股票34,2022,130.3,6.68,5.13,2022-01-02
000041,模拟股票42,2022,177.79,9.07,5.1,2022-01-02
600028,模拟股票29,2022,15.23,0.77,5.04,2022-01-02
600079,模拟股票80,2022,134.29,6.73,5.01,2022-01-02
000084,模拟股票85,2022,80.29,3.99,4.97,2022-01-02
000000,模拟股票1,2022,47.19,2.33,4.93,2022-01-02
000074,模拟股票75,2022,199.31,9.75,4.89,2022-01-02
600048,模拟股票49,2022,28.71,1.4,4.88,2022-01-02
000098,模拟股票99,2022,24.11,1.16,4.83,2022-01-02
600002,模拟股票3,2022,134.67,6.46,4.8,2022-01-02
600078,模拟股票79,2022,7.37,0.35,4.8,2022-01-02
000015,模拟股票16,2022,37.2,1.72,4.62,2022-01-02
600089,模拟股票90,2022,190.46,8.68,4.56,2022-01-02
000018,模拟股票19,2022,158.02,7.1,4.49,2022-01-02
000012,模拟股票13,2022,9.62,0.43,4.45,2022-01-02
600056,模拟股票57,2022,101.06,4.47,4.42,2022-01-02
000096,模拟股票97,2022,14.65,0.64,4.37,2022-01-02
600066,模拟股票67,2022,90.53,3.94,4.35,2022-01-02
600043,模拟股票44,2022,192.71,8.34,4.33,2022-01-02
600064,模拟股票65,2022,82.75,3.44,4.16,2022-01-02
000097,模拟股票98,2022,95.69,3.98,4.16,2022-01-02
000027,模拟股票28,2022,82.95,3.44,4.15,2022-01-02
000099,模拟股票100,2022,23.3,0.96,4.1,2022-01-02
000069,模拟股票70,2022,199.78,7.99,4.0,2022-01-02
000013,模拟股票14,2022,16.0,0.64,3.99,2022-01-02
000068,模拟股票69,2022,168.71,6.71,3.98,2022-01-02
600052,模拟股票53,2022,94.04,3.65,3.88,2022-01-02
600080,模拟股票81,2022,168.02,6.4,3.81,2022-01-02
000061,模拟股票62,2022,7.12,0.27,3.74,2022-01-02
600009,模拟股票10,2022,43.27,1.59,3.67,2022-01-02
000029,模拟股票30,2022,64.37,2.35,3.65,2022-01-02
600081,模拟股票82,2022,138.52,4.97,3.59,2022-01-02
000006,模拟股票7,2022,115.17,4.09,3.55,2022-01-02
600051,模拟股票52,2022,126.05,4.44,3.52,2022-01-02
600034,模拟股票35,2022,36.39,1.28,3.51,2022-01-02
000022,模拟股票23,2022,133.61,4.57,3.42,2022-01-02
000020,模拟股票21,2022,120.42,4.11,3.41,2022-01-02
600060,模拟股票61,2022,64.8,2.2,3.39,2022-01-02
000021,模拟股票22,2022,104.04,3.43,3.3,2022-01-02
600046,模拟股票47,2022,62.95,2.08,3.3,2022-01-02
600067,模拟股票68,2022,8.73,0.28,3.24,2022-01-02
000008,模拟股票9,2022,93.17,3.0,3.22,2022-01-02
000073,模拟股票74,2022,6.99,0.22,3.17,2022-01-02
000042,模拟股票43,2022,170.2,5.14,3.02,2022-01-02
